Date,Close
9/17/2018 16:00,146.22
9/18/2018 16:00,149.07
9/19/2018 16:00,152.76
9/20/2018 16:00,156
9/21/2018 16:00,156.38
9/24/2018 16:00,154
9/25/2018 16:00,154.09
9/26/2018 16:00,153.17
9/27/2018 16:00,152.47
9/28/2018 16:00,152.49
10/1/2018 16:00,152.28
10/2/2018 16:00,154.82
10/3/2018 16:00,158.22
10/4/2018 16:00,156.75
10/5/2018 16:00,153.31
10/8/2018 16:00,153.35
10/9/2018 16:00,149.46
10/10/2018 16:00,143.72
10/11/2018 16:00,140.97
10/12/2018 16:00,142.07
10/15/2018 16:00,141.8
10/16/2018 16:00,143.71
10/17/2018 16:00,141.34
10/18/2018 16:00,135.8
10/19/2018 16:00,131.32
10/22/2018 16:00,128.71
10/23/2018 16:00,118.98
10/24/2018 16:00,112.34
10/25/2018 16:00,115.63
10/26/2018 16:00,115.05
10/29/2018 16:00,113.98
10/30/2018 16:00,117.46
10/31/2018 16:00,121.32
11/1/2018 16:00,124.7
11/2/2018 16:00,125.79
11/5/2018 16:00,126.41
11/6/2018 16:00,129.33
11/7/2018 16:00,135.1
11/8/2018 16:00,131.39
11/9/2018 16:00,126.91
11/12/2018 16:00,125
11/13/2018 16:00,125.96
11/14/2018 16:00,125.1
11/15/2018 16:00,129.42
11/16/2018 16:00,129.96
11/19/2018 16:00,125.98
11/20/2018 16:00,122.27
11/21/2018 16:00,123.87
11/23/2018 13:00,122.32
11/26/2018 16:00,124.8
11/27/2018 16:00,124.6
11/28/2018 16:00,130.77
11/29/2018 16:00,130.23
11/30/2018 16:00,135.67
12/3/2018 16:00,138.95
12/4/2018 16:00,129.32
12/6/2018 16:00,128.37
12/7/2018 16:00,123.55
12/10/2018 16:00,123.39
12/11/2018 16:00,123.24
12/12/2018 16:00,125.37
12/13/2018 16:00,125.9
12/14/2018 16:00,126.77
12/17/2018 16:00,124.47
12/18/2018 16:00,124.27
12/19/2018 16:00,122.33
12/20/2018 16:00,121.55
12/21/2018 16:00,120.07
12/24/2018 13:00,116.95
12/26/2018 16:00,124.76
12/27/2018 16:00,126.67
12/28/2018 16:00,125.61
12/31/2018 16:00,127.07
1/2/2019 16:00,126.38
1/3/2019 16:00,121.51
1/4/2019 16:00,128.15
1/7/2019 16:00,128.23
1/8/2019 16:00,129.77
1/9/2019 16:00,130.27
1/10/2019 16:00,132.96
1/11/2019 16:00,132.1
1/14/2019 16:00,131.8
1/15/2019 16:00,130.69
1/16/2019 16:00,131.66
1/17/2019 16:00,134.54
1/18/2019 16:00,136.6
1/22/2019 16:00,132.24
1/23/2019 16:00,131.82
1/24/2019 16:00,132.73
1/25/2019 16:00,136.86
1/28/2019 16:00,124.37
1/29/2019 16:00,126.53
1/30/2019 16:00,130.11
1/31/2019 16:00,133.16
2/1/2019 16:00,130.91
2/4/2019 16:00,130.88
2/5/2019 16:00,132
2/6/2019 16:00,130.54
2/7/2019 16:00,128.78
2/8/2019 16:00,128.6
2/11/2019 16:00,128.93
2/12/2019 16:00,132.67
2/13/2019 16:00,133.1
2/14/2019 16:00,132.62
2/15/2019 16:00,136.2
2/19/2019 16:00,135.8
2/20/2019 16:00,140.31
2/21/2019 16:00,138.88
2/22/2019 16:00,138.68
2/25/2019 16:00,141.41
2/26/2019 16:00,137.98
2/27/2019 16:00,139.58
2/28/2019 16:00,137.34
3/1/2019 16:00,137.47
3/4/2019 16:00,138.35
3/5/2019 16:00,137.14
3/6/2019 16:00,134.83
3/7/2019 16:00,132.8
3/8/2019 16:00,131.35
3/11/2019 16:00,133.11
3/12/2019 16:00,132.48
3/13/2019 16:00,133.5
3/14/2019 16:00,133.69
3/15/2019 16:00,132.67
3/18/2019 16:00,134.1
3/19/2019 16:00,134.15
3/20/2019 16:00,133.01
3/21/2019 16:00,134.06
3/22/2019 16:00,129.77
3/25/2019 16:00,131.38
3/26/2019 16:00,131.84
3/27/2019 16:00,131.2
3/28/2019 16:00,132.37
3/29/2019 16:00,135.49
4/1/2019 16:00,140.25
4/2/2019 16:00,140.19
4/3/2019 16:00,139.26
4/4/2019 16:00,140.13
4/5/2019 16:00,140.36
4/8/2019 16:00,139.82
4/9/2019 16:00,136.35
4/10/2019 16:00,137.53
4/11/2019 16:00,138.87
4/12/2019 16:00,141.2
4/15/2019 16:00,140.25
4/16/2019 16:00,142.03
4/17/2019 16:00,142.74
4/18/2019 16:00,143.36
4/22/2019 16:00,142.38
4/23/2019 16:00,142.03
4/24/2019 16:00,137.73
4/25/2019 16:00,136.13
4/26/2019 16:00,139.03
4/29/2019 16:00,139.02
4/30/2019 16:00,139.42
5/1/2019 16:00,138.15
5/2/2019 16:00,135.17
5/3/2019 16:00,139.06
5/6/2019 16:00,136.76
5/7/2019 16:00,133.67
5/8/2019 16:00,131.95
5/9/2019 16:00,131.2
5/10/2019 16:00,131.34
5/13/2019 16:00,125.3
5/14/2019 16:00,127.47
5/15/2019 16:00,127.3
5/16/2019 16:00,126.61
5/17/2019 16:00,122.76
5/20/2019 16:00,122.43
5/21/2019 16:00,124.95
5/22/2019 16:00,123.56
5/23/2019 16:00,122.26
5/24/2019 16:00,122.9
5/28/2019 16:00,121.59
5/29/2019 16:00,121.48
5/30/2019 16:00,121.84
5/31/2019 16:00,119.81
6/3/2019 16:00,120.65
6/4/2019 16:00,122.08
6/5/2019 16:00,123.12
6/6/2019 16:00,123.39
6/7/2019 16:00,124.46
6/10/2019 16:00,125.74
6/11/2019 16:00,127.28
6/12/2019 16:00,127.1
6/13/2019 16:00,127.17
6/14/2019 16:00,127.23
6/17/2019 16:00,127.32
6/18/2019 16:00,130.33
6/19/2019 16:00,130.61
6/20/2019 16:00,133.63
6/21/2019 16:00,133.89
6/24/2019 16:00,134.37
6/25/2019 16:00,133.71
6/26/2019 16:00,135.15
6/27/2019 16:00,135.5
6/28/2019 16:00,136.29
7/1/2019 16:00,136.6
7/2/2019 16:00,135.85
7/3/2019 13:00,135.59
7/5/2019 16:00,135.49
7/8/2019 16:00,134.84
7/9/2019 16:00,134.29
7/10/2019 16:00,132.64
7/11/2019 16:00,133.96
7/12/2019 16:00,138.36
7/15/2019 16:00,139.64
7/16/2019 16:00,139.09
7/17/2019 16:00,135.73
7/18/2019 16:00,134.89
7/19/2019 16:00,136.23
7/22/2019 16:00,135.24
7/23/2019 16:00,138.1
7/24/2019 16:00,131.91
7/25/2019 16:00,134.71
7/26/2019 16:00,132.92
7/29/2019 16:00,134.46
7/30/2019 16:00,132.95
7/31/2019 16:00,131.67
8/1/2019 16:00,126.79
8/2/2019 16:00,124.54
8/5/2019 16:00,121.65
8/6/2019 16:00,122.08
8/7/2019 16:00,120.78
8/8/2019 16:00,122.02
8/9/2019 16:00,119.38
8/12/2019 16:00,116.72
8/13/2019 16:00,119.01
8/14/2019 16:00,115.21
8/15/2019 16:00,115.25
8/16/2019 16:00,116.43
8/19/2019 16:00,117.36
8/20/2019 16:00,116.67
8/21/2019 16:00,117.68
8/22/2019 16:00,117.89
8/23/2019 16:00,114.06
8/26/2019 16:00,114.42
8/27/2019 16:00,113.38
8/28/2019 16:00,114.86
8/29/2019 16:00,117.77
8/30/2019 16:00,119
9/3/2019 16:00,117.03
9/4/2019 16:00,119.1
9/5/2019 16:00,122.99
9/6/2019 16:00,122.7
9/9/2019 16:00,127.25
9/10/2019 16:00,130.29
9/11/2019 16:00,133.09
9/12/2019 16:00,131.75
9/13/2019 16:00,133.78
9/16/2019 16:00,133.15
9/17/2019 16:00,132.17
9/18/2019 16:00,131.07
9/19/2019 16:00,130.12
9/20/2019 16:00,128.16
9/23/2019 16:00,128.42
9/24/2019 16:00,125.99
9/25/2019 16:00,126.61
9/26/2019 16:00,126.39
9/27/2019 16:00,126.59
9/30/2019 16:00,126.31
10/1/2019 16:00,122.37
10/2/2019 16:00,119.96
10/3/2019 16:00,120.04
10/4/2019 16:00,121.04
10/7/2019 16:00,120.25
10/8/2019 16:00,117.97
10/9/2019 16:00,119.44
10/10/2019 16:00,122.69
10/11/2019 16:00,128.4
10/14/2019 16:00,128.38
10/15/2019 16:00,131.03
10/16/2019 16:00,130.19
10/17/2019 16:00,132.07
10/18/2019 16:00,130.71
10/21/2019 16:00,132.23
10/22/2019 16:00,133.69
10/23/2019 16:00,135.34
10/24/2019 16:00,133.85
10/25/2019 16:00,139.73
10/28/2019 16:00,140.06
10/29/2019 16:00,141.33
10/30/2019 16:00,140.34
10/31/2019 16:00,137.8
11/1/2019 16:00,144.49
11/4/2019 16:00,146.92
11/5/2019 16:00,146.37
11/6/2019 16:00,145.49
11/7/2019 16:00,147.01
11/8/2019 16:00,148.16
11/11/2019 16:00,148
11/12/2019 16:00,146.34
11/13/2019 16:00,144.49
11/14/2019 16:00,143.44
11/15/2019 16:00,145.31
11/18/2019 16:00,143.59
11/19/2019 16:00,143.18
11/20/2019 16:00,141.52
11/21/2019 16:00,143.36
11/22/2019 16:00,143.88
11/25/2019 16:00,146.42
11/26/2019 16:00,146.09
11/27/2019 16:00,145.69
11/29/2019 13:00,144.73
12/2/2019 16:00,142.96
12/3/2019 16:00,140.06
12/4/2019 16:00,140.12
12/5/2019 16:00,141.05
12/6/2019 16:00,142.72
12/9/2019 16:00,142.83
12/10/2019 16:00,142.87
12/11/2019 16:00,144
12/12/2019 16:00,146.78
12/13/2019 16:00,145.53
12/16/2019 16:00,145.36
12/17/2019 16:00,146.37
12/18/2019 16:00,147.12
12/19/2019 16:00,145.02
12/20/2019 16:00,147.57
12/23/2019 16:00,148.5
12/24/2019 13:00,147.48
12/26/2019 16:00,148.22
12/27/2019 16:00,148.28
12/30/2019 16:00,147.52
12/31/2019 16:00,147.68
1/2/2020 16:00,150.53
1/3/2020 16:00,148.44
1/6/2020 16:00,148.34
1/7/2020 16:00,146.38
1/8/2020 16:00,147.68
1/9/2020 16:00,147.31
1/10/2020 16:00,146.13
1/13/2020 16:00,146.82
1/14/2020 16:00,146.68
1/15/2020 16:00,145.57
1/16/2020 16:00,147.87
1/17/2020 16:00,147.78
1/21/2020 16:00,145.85
1/22/2020 16:00,142.63
1/23/2020 16:00,142.75
1/24/2020 16:00,140.38
1/27/2020 16:00,135.73
1/28/2020 16:00,136.74
1/29/2020 16:00,135.78
1/30/2020 16:00,135.37
1/31/2020 16:00,131.35
2/3/2020 16:00,129.77
2/4/2020 16:00,133.51
2/5/2020 16:00,137.44
2/6/2020 16:00,137.25
2/7/2020 16:00,133.37
2/10/2020 16:00,134.32
2/11/2020 16:00,136.19
2/12/2020 16:00,139.59
2/13/2020 16:00,139.72
2/14/2020 16:00,137.99
2/18/2020 16:00,136.58
2/19/2020 16:00,136.86
2/20/2020 16:00,136.93
2/21/2020 16:00,137.21
2/24/2020 16:00,132.17
2/25/2020 16:00,129
2/26/2020 16:00,128.25
2/27/2020 16:00,123.27
2/28/2020 16:00,124.24
3/2/2020 16:00,127.6
3/3/2020 16:00,124.38
3/4/2020 16:00,127.4
3/5/2020 16:00,121.97
3/6/2020 16:00,121.41
3/9/2020 16:00,104.07
3/10/2020 16:00,106.49
3/11/2020 16:00,100.69
3/12/2020 16:00,92.26
3/13/2020 16:00,99.64
3/16/2020 16:00,93.41
3/17/2020 16:00,100.2
3/18/2020 16:00,100.12
3/19/2020 16:00,103.01
3/20/2020 16:00,95.5
3/23/2020 16:00,91.85
3/24/2020 16:00,101.34
3/25/2020 16:00,104.67
3/26/2020 16:00,110.5
3/27/2020 16:00,105.44
3/30/2020 16:00,111.71
3/31/2020 16:00,116.04
4/1/2020 16:00,111.35
4/2/2020 16:00,116.74
4/3/2020 16:00,114.67
4/6/2020 16:00,120.43
4/7/2020 16:00,121.92
4/8/2020 16:00,127.4
4/9/2020 16:00,125.03
4/13/2020 16:00,114.14
4/14/2020 16:00,116.48
4/15/2020 16:00,111.53
4/16/2020 16:00,113.22
4/17/2020 16:00,116.3
4/20/2020 16:00,114.6
4/21/2020 16:00,109.85
4/22/2020 16:00,110.64
4/23/2020 16:00,112.91
4/24/2020 16:00,114.04
4/27/2020 16:00,115.2
4/28/2020 16:00,115.46
4/29/2020 16:00,120.06
4/30/2020 16:00,116.38
5/1/2020 16:00,110.88
5/4/2020 16:00,107.72
5/5/2020 16:00,108.91
5/6/2020 16:00,107.67
5/7/2020 16:00,107.29
5/8/2020 16:00,112.11
5/11/2020 16:00,108.61
5/12/2020 16:00,105
5/13/2020 16:00,104.48
5/14/2020 16:00,106.19
5/15/2020 16:00,107.92
5/18/2020 16:00,115.02
5/19/2020 16:00,112.08
5/20/2020 16:00,115.69
5/21/2020 16:00,114.06
5/22/2020 16:00,112.47
5/26/2020 16:00,117.41
5/27/2020 16:00,122.42
5/28/2020 16:00,120.74
5/29/2020 16:00,120.13
6/1/2020 16:00,120.5
6/2/2020 16:00,123.32
6/3/2020 16:00,127.09
6/4/2020 16:00,128.96
6/5/2020 16:00,135.12
6/8/2020 16:00,137.72
6/9/2020 16:00,134.19
6/10/2020 16:00,132.44
6/11/2020 16:00,121.55
6/12/2020 16:00,123.15
6/15/2020 16:00,123.61
6/16/2020 16:00,130.11
6/17/2020 16:00,128.23
6/18/2020 16:00,127.59
6/19/2020 16:00,127.46
6/22/2020 16:00,125.79
6/23/2020 16:00,126.25
6/24/2020 16:00,122.06
6/25/2020 16:00,124.71
6/26/2020 16:00,122.39
6/29/2020 16:00,125.25
6/30/2020 16:00,126.5
7/1/2020 16:00,126.06
7/2/2020 16:00,127.72
7/6/2020 16:00,129.43
7/7/2020 16:00,127.2
7/8/2020 16:00,128.13
7/9/2020 16:00,125.73
7/10/2020 16:00,128.01
7/13/2020 16:00,130.57
7/14/2020 16:00,136.88
7/15/2020 16:00,138.36
7/16/2020 16:00,138.56
7/17/2020 16:00,136.9
7/20/2020 16:00,134.63
7/21/2020 16:00,135.87
7/22/2020 16:00,136.98
7/23/2020 16:00,136.6
7/24/2020 16:00,137.58
7/27/2020 16:00,139.89
7/28/2020 16:00,138.03
7/29/2020 16:00,140.53
7/30/2020 16:00,136.73
7/31/2020 16:00,132.88
8/3/2020 16:00,131.78
8/4/2020 16:00,131.52
8/5/2020 16:00,134.97
8/6/2020 16:00,134.39
8/7/2020 16:00,134.92
8/10/2020 16:00,142.02
8/11/2020 16:00,142.53
8/12/2020 16:00,142.57
8/13/2020 16:00,140.67
8/14/2020 16:00,139.96
8/17/2020 16:00,138.72
8/18/2020 16:00,138.37
8/19/2020 16:00,138.02
8/20/2020 16:00,137.48
8/21/2020 16:00,138.43
8/24/2020 16:00,141.68
8/25/2020 16:00,141.15
8/26/2020 16:00,141.83
8/27/2020 16:00,143.37
8/28/2020 16:00,143.63
8/31/2020 16:00,142.31
9/1/2020 16:00,146.05
9/2/2020 16:00,149.27
9/3/2020 16:00,146.76
9/4/2020 16:00,148.18
9/8/2020 16:00,148.52
9/9/2020 16:00,152.69
9/10/2020 16:00,149.86
9/11/2020 16:00,153.83
9/14/2020 16:00,153.51
9/15/2020 16:00,148.6
9/16/2020 16:00,151.11
9/17/2020 16:00,153.87
9/18/2020 16:00,152.39
9/21/2020 16:00,145.33
9/22/2020 16:00,147.15
9/23/2020 16:00,144.38
9/24/2020 16:00,145.14
9/25/2020 16:00,145.91
9/28/2020 16:00,147.68
9/29/2020 16:00,147.41
9/30/2020 16:00,149.15
10/1/2020 16:00,146.71
10/2/2020 16:00,149.94
10/5/2020 16:00,153.49
10/6/2020 16:00,151.53
10/7/2020 16:00,154.77
10/8/2020 16:00,156.66
10/9/2020 16:00,158.94
10/12/2020 16:00,162.61
10/13/2020 16:00,162.12
10/14/2020 16:00,163.61
10/15/2020 16:00,165.04
10/16/2020 16:00,168.75
